Company Name,Industry / Specialization,Overview,Website,Careers Link,Expectations,Related Diploma(s),Resource
Sephora,Beauty Retail,"Global beauty retailer offering cosmetics, skincare, and fragrance brands, with a regional retail presence in Singapore.",sephora.sg,careers.sephora.com,"Customer service, product knowledge, retail operations familiarity",Diploma in Consumer Insights & Psychology,SkillsFuture - WSQ Service Excellence courses
Siemens,Industrial Technology,"German industrial technology conglomerate spanning automation, digitalisation, and infrastructure, with regional operations in Singapore.",siemens.com,jobs.siemens.com,"Electrical/automation fundamentals, troubleshooting, technical documentation",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
Singapore Sports Institute,Sports Science,"Part of Sport Singapore, supporting high-performance sport through sports science, sports medicine, and athlete development programmes.",sportsingapore.gov.sg,sportsingapore.gov.sg/careers,"Sports science knowledge, data tracking, coaching support skills",Diploma in Sports & Leisure Management (or related sports diplomas),Sport Singapore - National Coaching Accreditation Programme (NCAP) courses
Softing Singapore,Industrial Automation / IT Networks,"Singapore subsidiary of German technology company Softing AG, providing test and measurement solutions for industrial automation and IT network infrastructure.",softing.com,softing.com/en/company/career/,"Technical testing/troubleshooting, IT networking fundamentals, precision",Diploma in Electrical & Electronic Engineering; Diploma in Enterprise Cloud Computing & Management,SkillsFuture - Electrical & Automation WSQ courses
Sport Singapore,Public Sector / Sports,"Singapore's statutory board for developing sport, running national sports facilities, programmes, and initiatives (including ActiveSG) to build an active nation.",sportsingapore.gov.sg,sportsingapore.gov.sg/careers,"Programme coordination, community engagement, sports industry knowledge",Diploma in Sports & Leisure Management (or related sports diplomas),SkillsFuture - 'Explore a Career' industry-specific short courses
Surbana Jurong,Urban & Infrastructure Consultancy,"Singapore-headquartered urban and infrastructure consultancy providing planning, engineering, and design services across the region.",surbanajurong.com,surbanajurong.com/careers,"Sustainability knowledge, project coordination, analytical/technical skills",Diploma in Sustainable Built Environment,SkillsFuture - Sustainability & Green Building WSQ courses
TTSH,Healthcare,"Tan Tock Seng Hospital - a major Singapore public hospital providing acute care, rehabilitative care, and infectious disease services.",ttsh.com.sg,ttsh.com.sg/careers,"Care coordination, empathy, communication with patients and families",Diploma in Integrated Community Care,SkillsFuture - Healthcare Support / Community Care WSQ courses
The Ebenex Group,Events / AV Production,"Singapore-based integrated event technology group covering audio-visual production, event management, and venue technical support across live, virtual, and hybrid events.",ebenex.com,ebenex.com/careers,"AV/technical production skills, organisation, teamwork under live conditions",Diploma in Arts & Entertainment Production Management,SkillsFuture - 'Explore a Career' industry-specific short courses
Thermo Fisher Scientific,Life Sciences / Biotechnology,"Global life sciences company providing scientific instruments, reagents, and services, with a significant manufacturing and R&D presence in Singapore.",thermofisher.com,jobs.thermofisher.com,"Aseptic technique, accurate lab record-keeping, basic scripting (R/Python)",Diploma in Biological Sciences,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
Unity Pharmacy,Retail Pharmacy,"Retail pharmacy arm of NTUC Health/FairPrice Group, operating community pharmacies across Singapore; runs the RP-Unity Teaching Retail Pharmacy in partnership with Republic Polytechnic.",unity.com.sg,unity.com.sg/careers,"Pharmacy/customer service skills, product knowledge, attention to detail",Diploma in Pharmaceutical Science,SkillsFuture - WSQ Service Excellence courses
Watsons,Health & Beauty Retail,"Health and beauty retail chain with an extensive store network across Singapore, offering pharmacy, wellness, and beauty products.",watsons.com.sg,careers.watsons.com.sg,"Customer service, retail operations familiarity, product knowledge",Diploma in Consumer Insights & Psychology,SkillsFuture - WSQ Service Excellence courses
Wilmar,Agribusiness,"Singapore-headquartered agribusiness conglomerate spanning palm oil, edible oils, grains, and consumer food products across Asia.",wilmar-international.com,wilmar-international.com/careers,"Formulation/food science knowledge, quality control mindset, analytical thinking",Diploma in Applied Chemistry,Coursera - Google Data Analytics Professional Certificate
WuXi Biologics,Biotechnology / CDMO,Global biologics contract development and manufacturing organisation (CDMO) with a manufacturing facility in Singapore.,wuxibiologics.com,wuxibiologics.com/careers/,"Aseptic technique, accurate lab record-keeping, GMP awareness",Diploma in Biological Sciences,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
PUB,Public Sector / Water & Environment,"Singapore's National Water Agency, managing the entire water cycle - drainage, water supply, used water treatment, and water reclamation - as part of the national environment and sustainability agenda.",pub.gov.sg,pub.gov.sg/careers,"Environmental/sustainability knowledge, technical fundamentals, regulatory awareness",Diploma in Sustainable Built Environment,SkillsFuture - Sustainability & Green Building WSQ courses
BASF,Specialty Chemicals,"World's largest chemical producer, headquartered in Germany, with Singapore manufacturing and Asia Pacific operations spanning performance chemicals, agricultural solutions, and materials. Offers structured graduate programmes and internships with real-world project exposure across its Asia Pacific sites.",basf.com,basf.com/sg/en/careers,"Chemistry fundamentals, process safety awareness, sustainability mindset",Diploma in Applied Chemistry,SkillsFuture - Sustainability & Green Building WSQ courses
ExxonMobil,Petrochemicals / Energy,"One of the world's largest publicly traded energy and chemical companies; Singapore hosts ExxonMobil's largest integrated manufacturing site globally, spanning an oil refinery and the Singapore Chemical Plant on Jurong Island, plus its Asia Pacific downstream and chemicals regional headquarters.",exxonmobil.com,corporate.exxonmobil.com/careers/featured-hiring-locations/careers-in-singapore,"Chemistry/process fundamentals, safety discipline, analytical thinking",Diploma in Applied Chemistry,Coursera - Google Data Analytics Professional Certificate
Sanofi,Pharmaceutical / Biopharma,"Global biopharmaceutical company with three Singapore sites: a regional headquarters, a 30-year-old API manufacturing plant in Jurong, and Modulus, its first Asian next-generation modular biopharmaceutical manufacturing facility. Runs 6-12 month internships and a two-year Sanofi Manufacturing Innovators development programme.",sanofi.com,jobs.sanofi.com/en/singapore-careers,"GMP knowledge, process/chemistry fundamentals, quality mindset",Diploma in Applied Chemistry; Diploma in Pharmaceutical Science,Sanofi Manufacturing Innovators (SMI) Program - 2-year biopharma manufacturing development track
Lonza,Biotechnology / Pharma Manufacturing,"Global partner to the pharmaceutical, biotech, and nutrition industries, operating a major biologics manufacturing site in Tuas, Singapore, focused on therapeutic protein and cell/gene therapy production under cGMP conditions. Actively hires fresh graduates in Life Sciences into biotechnologist and quality roles.",lonza.com,lonza.com/careers,"Aseptic technique, GMP knowledge, lab documentation discipline",Diploma in Biological Sciences; Diploma in Biomedical Science,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
Novartis,Pharmaceutical,"Swiss global pharmaceutical company with Singapore operations supporting regional commercial and manufacturing functions, focused on innovative medicines across oncology, cardiovascular, and immunology. Offers structured internships and graduate entry roles across R&D, manufacturing, and commercial functions.",novartis.com,novartis.com/sg-en/careers,"GMP/quality-assurance mindset, regulatory awareness, lab discipline",Diploma in Biological Sciences; Diploma in Pharmaceutical Science,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
Health Sciences Authority,Public Sector / Health Regulation,"Singapore's national regulator for health products, forensic science, and blood supply - reviews and approves medicines and medical devices, provides forensic and analytical science services, and operates Singapore's national blood bank. Offers internships and entry roles for science and biomedical graduates in regulatory, lab, and forensic functions.",hsa.gov.sg,hsa.gov.sg/about-us/careers/,"Regulatory/analytical mindset, lab discipline, attention to detail",Diploma in Biological Sciences; Diploma in Biomedical Science; Diploma in Pharmaceutical Science,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
National University Hospital,Healthcare,"Singapore's leading university hospital and largest acute tertiary hospital, part of the National University Health System (NUHS), providing multidisciplinary care and hosting the National University Cancer Institute. Hires biomedical and lab science graduates into medical technologist, research, and allied health roles.",nuh.com.sg,nuh.com.sg/careers/join-us,"Lab discipline, accurate documentation, patient-care mindset",Diploma in Biological Sciences; Diploma in Biomedical Science,Coursera - 'Good Laboratory Practice & Lab Safety Fundamentals'
KK Women's and Children's Hospital,Healthcare,"Singapore's largest hospital for women and children, providing care across more than 30 medical specialties through doctors, nurses, and allied health professionals. Offers career pathways for allied health and biomedical science graduates in diagnostic and clinical support roles.",kkh.com.sg,kkh.com.sg/careers,"Lab discipline, communication, patient-care mindset",Diploma in Biomedical Science; Diploma in Integrated Community Care,Coursera - 'Good Laboratory Practice & Lab Safety Fundamentals'
Maritime and Port Authority of Singapore,Public Sector / Maritime,"Singapore's statutory board overseeing port operations, maritime safety, and the development of Singapore as an International Maritime Centre. Offers rotational entry roles spanning policy, business development, and vessel/port operations, with structured training for graduates from science, engineering, and business backgrounds.",mpa.gov.sg,mpa.gov.sg/events-careers/mpa-careers,"Regulatory awareness, analytical thinking, maritime industry knowledge",Diploma in Environmental & Marine Science; Diploma in Aviation Management,Coursera - Google Data Analytics Professional Certificate
Mandai Wildlife Group,Wildlife / Conservation,"Singapore's only zoological institution and steward of Mandai Wildlife Reserve, home to Singapore Zoo, Night Safari, River Wonders, and Bird Paradise. Combines animal care, conservation research, and guest experience operations, hiring science graduates into horticulture, animal care, and conservation research roles.",mandai.com,careers.mandai.com,"Environmental/biology knowledge, fieldwork discipline, conservation mindset",Diploma in Environmental & Marine Science; Diploma in Outdoor Education,Coursera - Conservation & Environmental Science Fundamentals
Seatrium,Marine / Offshore Engineering,"Singapore-headquartered global engineering group for the offshore, marine, and energy industries, with over 60 years building rigs, floaters, offshore platforms, and specialised vessels, now expanding into offshore renewables and new energy solutions. Hires engineering and environmental science graduates into design, project, and sustainability roles.",seatrium.com,seatrium.wd3.myworkdayjobs.com/SeatriumCareers,"Technical/engineering fundamentals, project coordination, safety discipline",Diploma in Environmental & Marine Science; Diploma in Mobility & Robotic Systems,SkillsFuture - Engineering fundamentals WSQ courses
AbbVie,Pharmaceutical / Biopharma,"Global Fortune 500 biopharmaceutical company with its Japan-Asia-Pacific regional headquarters in Singapore, alongside a small molecule and biologics manufacturing facility. Focuses on immunology, oncology, neuroscience, and eye care, with internships and development programmes across R&D, manufacturing, and commercial functions.",abbvie.com,abbvie.com.sg/join-us.html,"GMP knowledge, quality mindset, lab documentation discipline",Diploma in Pharmaceutical Science; Diploma in Biological Sciences,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
Deloitte,Professional Services / Big 4,"One of the Big Four global professional services firms, offering audit & assurance, tax & legal, consulting, financial advisory, and risk advisory services. Runs a dedicated Accelerated Career Program for accountancy polytechnic and university students, plus a 2-year graduate rotational programme and structured internships across all service lines.",deloitte.com,www2.deloitte.com/sg/en/careers/students.html,"Analytical thinking, client communication, adaptability across industries",Diploma in Business; Diploma in Human Resource Management with Psychology,Deloitte Accelerated Career Program (Audit & Assurance) for accountancy poly students
KPMG,Professional Services / Big 4,"One of the Big Four global professional services firms, providing audit, tax, and advisory services across financial services, consumer, and technology industries. Runs early-career programmes specifically designed for polytechnic graduates as an entry point into professional services, alongside a 2-year rotational graduate programme.",kpmg.com,kpmg.com/sg/en/careers.html,"Analytical thinking, attention to detail, client communication",Diploma in Business; Diploma in Human Resource Management with Psychology,"KPMG Early Career Programme, designed specifically as an entry point for polytechnic students"
Rolls-Royce Singapore,Aerospace / Engineering,"Rolls-Royce's Asia Pacific hub for aerospace engine manufacturing, assembly, and testing, operating one of the company's largest and most advanced engine facilities outside the UK. Offers apprenticeships, internships, and graduate engineering roles across manufacturing, supply chain, and technical functions.",rolls-royce.com,careers.rolls-royce.com/en/our-locations/singapore,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Aerospace Engineering; Diploma in Electrical & Electronic Engineering,Rolls-Royce Apprenticeship Programme
Land Transport Authority,Public Sector / Transport Infrastructure,"Singapore's statutory board under the Ministry of Transport that plans, builds, and maintains the country's land transport infrastructure and systems, including the MRT network, roads, and the National Electric Vehicle Centre. Offers internships, scholarships, and structured graduate roles across engineering, planning, and technology functions.",lta.gov.sg,lta.gov.sg/content/ltagov/en/who_we_are/careers/join_lta.html,"Engineering fundamentals, project coordination, regulatory awareness",Diploma in Mobility & Robotic Systems; Diploma in Sustainable Built Environment,LTA GRIT@Gov Traineeship and engineering scholarships
Housing & Development Board,Public Sector / Public Housing,"Singapore's statutory board responsible for public housing, planning and developing towns that house over 80% of Singapore's resident population. Offers internships and graduate roles spanning architecture, engineering, estate management, and urban planning.",hdb.gov.sg,hdb.gov.sg/about-us/work-with-us/careers,"Sustainability/urban planning knowledge, project coordination, regulatory awareness",Diploma in Sustainable Built Environment,SkillsFuture - Sustainability & Green Building WSQ courses
Bosch,Industrial Technology / Automotive,"German multinational engineering and technology company with Singapore operations spanning automotive aftermarket, IoT, industrial automation, and R&D. Runs a Junior Managers Program with functional rotations and international assignments, plus internships across engineering and business functions.",bosch.com.sg,bosch.com.sg/careers/,"Electrical/automation fundamentals, troubleshooting, technical documentation",Diploma in Electrical & Electronic Engineering; Diploma in Mobility & Robotic Systems; Diploma in Engineering,Bosch Junior Managers Program - functional rotations plus an overseas assignment
Kuehne+Nagel,Logistics,"Global logistics group offering sea, air, and land freight forwarding plus contract logistics, with a Singapore office serving as a regional hub. Hires graduates into operations, supply chain, and freight forwarding roles as part of its global logistics network.",kuehne-nagel.com,jobs.kuehne-nagel.com/global/en/singapore,"Operations/logistics fundamentals, process discipline, problem-solving",Diploma in Supply Chain Management,SkillsFuture - Supply Chain & Operations WSQ courses
Resorts World Sentosa,Hospitality / Integrated Resort,"Asia's premium lifestyle destination resort on Sentosa Island, spanning six luxury hotels, Universal Studios Singapore, S.E.A. Aquarium, a casino, and the Resorts World Convention Centre. Runs a Management Associate Programme and hires across hospitality, guest services, attractions, and F&B operations.",rwsentosa.com,rwsentosa.com/en/about/career,"Guest service mindset, multitasking under pressure, teamwork",Diploma in Hospitality & Tourism Management; Diploma in Hotel & Leisure Management; Diploma in Events & Project Management,RWS Management Associate Programme - 2-year hospitality leadership track
Marriott International,Hospitality / Hotels,"Global hospitality company with 30+ hotel brands and multiple properties in Singapore, including luxury brands like The St. Regis. Offers structured Hotel Internship Programmes and graduate roles across front office, F&B, and hotel operations.",marriott.com,careers.marriott.com,"Guest service mindset, PMS software familiarity, teamwork",Diploma in Hospitality & Tourism Management; Diploma in Hotel & Leisure Management; Diploma in Restaurant & Culinary Management,Marriott Hotel Internship Program
BreadTalk Group,F&B / Bakery & Restaurant Group,"Homegrown Singapore F&B group founded in 2000, operating bakery, restaurant, and food court brands including BreadTalk and Toast Box across multiple markets. Runs a Management Associate Programme and a SkillsFuture Earn & Learn programme specifically for polytechnic trainees to build technical F&B skills over a 15-month internship.",breadtalk.com,breadtalk.com/careers/,"Service excellence, multitasking under pressure, food safety discipline",Diploma in Restaurant & Culinary Management,BreadTalk SkillsFuture Earn & Learn Programme - 15-month technical F&B pathway for polytechnic trainees
True Fitness,Fitness / Gym Chain,"One of Asia's largest fitness and wellness groups, headquartered in Singapore with clubs across 7 locations islandwide plus presence in Malaysia, Taiwan, Thailand, and China. Hires fitness instructors and personal trainers, with no experience required and a clear pathway for candidates with a sport science or sport management diploma.",truefitness.com.sg,truefitness.com.sg/personal-trainers-recruitment/,"Coaching/fitness knowledge, customer service, sales ability",Diploma in Sport Coaching; Diploma in Sport & Exercise Science; Diploma in Sports & Health,Sport Singapore - National Coaching Accreditation Programme (NCAP) courses
SAFRA,Community / Sports & Recreation,"National Service Association running a network of community clubs across Singapore offering social, recreational, sports, and educational facilities for NSmen and their families, serving around 600,000 members. Hires across fitness coaching, event management, and customer service roles at its clubs.",safra.sg,safra.sg/careers,"Coaching/facilitation skills, customer service, community engagement",Diploma in Sport Coaching; Diploma in Outdoor Education; Diploma in Sports & Health,Sport Singapore - National Coaching Accreditation Programme (NCAP) courses
Ministry of Education,Public Sector / Education,"Singapore's government ministry overseeing the national education system, from primary schools to junior colleges. Offers a Diploma in Education route via the National Institute of Education specifically designed for polytechnic graduates entering primary teaching, alongside PE teaching and Allied Educator career tracks.",moe.gov.sg,moe.gov.sg/careers,"Communication, mentoring mindset, subject/coaching knowledge",Diploma in Sport Coaching; Diploma in Outdoor Education,"NIE Diploma in Education - direct route for polytechnic graduates into primary teaching, MOE-sponsored with a stipend"
Ubisoft Singapore,Video Games,"Southeast Asia's largest AAA video game development studio, opened in 2008, with 450+ team members who have worked on every Assassin's Creed title since AC2 and led the launch of Skull and Bones. Hires artists, designers, engineers, and producers into blockbuster game development and live operations roles.",ubisoftsingapore.com,ubisoftsingapore.com/careers-new,"Creative/technical game development skills, teamwork, portfolio of work",Diploma in Sonic Arts; Diploma in Design; Diploma in Digital Content Creation,Unity Learn - free game development courses
Garena,Video Games / Digital Entertainment,"The digital entertainment arm of Singapore-founded Sea Limited, developing and publishing games including Free Fire across Southeast Asia and Taiwan. Runs the Sea Global Management Associate Program and a Labs Internship Program for software engineering and game development graduates.",garena.com,careers.garena.com/global/careers,"Game development/design skills, data-driven thinking, creativity",Diploma in Sonic Arts; Diploma in Digital Content Creation,Sea Global Management Associate Program (MAP) / Sea Labs Internship Program
Kingsmen Creatives,Design / Experiential Production,"Singapore Exchange-listed communication design and production group with 21 offices across Asia Pacific, the Middle East, and the US, creating exhibitions, museums, retail interiors, and brand experiences for major global clients. Actively partners with polytechnics on design talent development and hires into design, project management, and production roles.",kingsmen-int.com,kingsmen-int.com/careers/,"Design portfolio, project coordination, client communication",Diploma in Design; Diploma in Sonic Arts; Diploma in Arts & Entertainment Production Management,Kingsmen x Polytechnic design talent partnership programme
